user_id,login_date,date_time
26575679,20170401,2017-04-01 00:01:34
19376097,20170401,2017-04-01 00:38:21
26474253,20170401,2017-04-01 01:20:54
20118072,20170401,2017-04-01 01:35:51
13557791,20170401,2017-04-01 06:19:59
21073234,20170401,2017-04-01 06:34:40
21073234,20170401,2017-04-01 06:36:49
25948962,20170401,2017-04-01 06:37:24
21073234,20170401,2017-04-01 06:37:44
26558480,20170401,2017-04-01 06:44:55
21073234,20170401,2017-04-01 06:47:47
21073234,20170401,2017-04-01 06:51:16
26428961,20170401,2017-04-01 06:54:32
26076024,20170401,2017-04-01 06:57:56
26176774,20170401,2017-04-01 07:11:51
25897703,20170401,2017-04-01 07:12:41
25767573,20170401,2017-04-01 07:24:16
19929520,20170401,2017-04-01 07:25:03
17639830,20170401,2017-04-01 07:26:13
21073247,20170401,2017-04-01 07:31:05
26575887,20170401,2017-04-01 07:31:24
26474253,20170401,2017-04-01 07:36:25
26191269,20170401,2017-04-01 07:37:33
26401232,20170401,2017-04-01 07:48:46
25945049,20170401,2017-04-01 07:49:20
26345059,20170401,2017-04-01 07:51:20
21255364,20170401,2017-04-01 07:51:30
25724959,20170401,2017-04-01 07:52:17
25840971,20170401,2017-04-01 07:53:33
26401232,20170401,2017-04-01 07:56:10
25678614,20170401,2017-04-01 07:59:36
24769433,20170401,2017-04-01 08:01:35
24769433,20170401,2017-04-01 08:01:50
13852722,20170401,2017-04-01 08:02:25
26524810,20170401,2017-04-01 08:04:48
19867003,20170401,2017-04-01 08:06:19
26182884,20170401,2017-04-01 08:07:12
19867003,20170401,2017-04-01 08:07:45
19867003,20170401,2017-04-01 08:09:05
25931672,20170401,2017-04-01 08:09:29
25671776,20170401,2017-04-01 08:10:10
20118072,20170401,2017-04-01 08:22:52
26471627,20170401,2017-04-01 08:29:43
26345631,20170401,2017-04-01 08:30:23
17922086,20170401,2017-04-01 08:43:43
15258984,20170401,2017-04-01 08:51:22
25948962,20170401,2017-04-01 08:51:38
24769485,20170401,2017-04-01 08:56:20
26510952,20170401,2017-04-01 08:56:41
25875174,20170401,2017-04-01 09:01:08
13697216,20170401,2017-04-01 09:01:56
25845352,20170401,2017-04-01 09:01:56
25845352,20170401,2017-04-01 09:03:54
25845352,20170401,2017-04-01 09:04:03
26576498,20170401,2017-04-01 09:06:19
25836772,20170401,2017-04-01 09:17:56
25836772,20170401,2017-04-01 09:18:07
25836772,20170401,2017-04-01 09:18:17
25836772,20170401,2017-04-01 09:18:30
25836772,20170401,2017-04-01 09:18:42
19835764,20170401,2017-04-01 09:20:29
25902734,20170401,2017-04-01 09:21:56
26551525,20170401,2017-04-01 09:23:35
21255364,20170401,2017-04-01 09:29:32
21255364,20170401,2017-04-01 09:29:46
21255364,20170401,2017-04-01 09:30:16
17922086,20170401,2017-04-01 09:48:44
26539838,20170401,2017-04-01 09:54:39
26337519,20170401,2017-04-01 09:55:46
26477633,20170401,2017-04-01 09:58:18
25875174,20170401,2017-04-01 10:00:14
15457182,20170401,2017-04-01 10:03:24
26577109,20170401,2017-04-01 10:05:52
26577174,20170401,2017-04-01 10:08:37
16011788,20170401,2017-04-01 10:10:21
25896910,20170401,2017-04-01 10:10:29
26051324,20170401,2017-04-01 10:11:04
26577174,20170401,2017-04-01 10:11:03
17571853,20170401,2017-04-01 10:11:23
26191269,20170401,2017-04-01 10:17:08
25935507,20170401,2017-04-01 10:18:51
25765714,20170401,2017-04-01 10:20:36
26401804,20170401,2017-04-01 10:21:27
25764726,20170401,2017-04-01 10:23:11
25764726,20170401,2017-04-01 10:23:26
25764726,20170401,2017-04-01 10:23:36
25764726,20170401,2017-04-01 10:23:44
25764726,20170401,2017-04-01 10:24:10
25764726,20170401,2017-04-01 10:24:26
25764726,20170401,2017-04-01 10:24:19
25764492,20170401,2017-04-01 10:24:29
25764726,20170401,2017-04-01 10:24:33
25766013,20170401,2017-04-01 10:24:48
25859444,20170401,2017-04-01 10:32:25
25859444,20170401,2017-04-01 10:34:49
19925009,20170401,2017-04-01 10:37:51
25859444,20170401,2017-04-01 10:39:56
26516659,20170401,2017-04-01 10:41:27
26176501,20170401,2017-04-01 10:42:25
26443612,20170401,2017-04-01 10:42:34
26041925,20170401,2017-04-01 10:46:31
26175864,20170401,2017-04-01 10:47:58
25724959,20170401,2017-04-01 10:52:25
26577759,20170401,2017-04-01 10:54:23
26420511,20170401,2017-04-01 11:11:12
25450815,20170401,2017-04-01 11:16:50
26176501,20170401,2017-04-01 11:17:14
26577993,20170401,2017-04-01 11:18:30
21255364,20170401,2017-04-01 11:20:00
26470782,20170401,2017-04-01 11:23:28
19410898,20170401,2017-04-01 11:25:38
17026737,20170401,2017-04-01 11:26:06
26236015,20170401,2017-04-01 11:26:35
